TMDB_ID,Title,Release_Date,Poster_Path
66373,Vikram,29-05-1986,/zMgY2Cbu6KZBNOh3QSm5yY2hkgA.jpg
512271,Kanne Kaniyamuthe,07-06-1986,/12foMkbzRfaqlm0WOzSLef4uoCq.jpg
66374,Manakanakku,14-06-1986,/9Xlyzoh5Nh8tTag28kcyWq1CwRa.jpg
387762,Kadalora Kavithaigal,05-07-1986,/pEylJkSXCsCUQGhWTN6hzpcrDqs.jpg
261547,Thaaiku Oru Thaalaattu,16-07-1986,/zTtxcjCuP1ZqwzAs19lXPj3HzeT.jpg
304540,Samsaram Adhu Minsaram,18-07-1986,/niFCOvyQmK3vA9ULvLdVcB4Tjhl.jpg
906271,Aayiram Pookkal Malarattum,08-08-1986,/nBivKv0bVV74sICS7n6UBad8vdu.jpg
82124,Mouna Raagam,15-08-1986,/oXy8bx56Fx53sxozHubeLLDItF7.jpg
78879,Oomai Vizhigal,15-08-1986,/oWs87NAHZhqJBLXlEYMxW1GrnXp.jpg
277857,Mella Thirandhadhu Kadhavu,12-09-1986,/iyniGSgndG1ls3L9CxCwDsQJUr3.jpg
304260,Kodai Mazhai,26-09-1986,/XNyCJmfDDnxPZlJ9WJQUEexRYM.jpg
261836,Lakshmi Vandhachu,31-10-1986,/bpL2rQrEARQopaATnlX3aduxNQ1.jpg
949465,Aruvadai Naal,01-11-1986,/eN3sSlZBa00c2NXSiODbYXYG4BY.jpg
304736,Kannukku Mai Ezhuthu,01-11-1986,/e68bvVYAGCwdBcjP9adDQrI2rs2.jpg
66376,Punnagai Mannan,01-11-1986,/nHncwZsDLV3w6T9yNKjsjTKRsiR.jpg
66268,Maaveeran,01-11-1986,/kkjyxHMTRRmlcEMDIdXZXub2oGo.jpg
1391976,Mandhira Punnagai,11-12-1986,/4XpJGZ7KnRzm7YTx9CswRbJzcEB.jpg
261546,Mannukkul Vairam,11-12-1986,/uMVwjo5Zs03hXXHHk87M88LpnNN.jpg
78915,Oru Iniya Udhayam,13-12-1986,/kfYLulLPUOeQctHGQ67mvR5D5a8.jpg
957568,Enga Veetu Ramayanam,01-01-1987,/bG962KkScguu5KoerK3dG6hMs5P.jpg
872844,Manaivi Ready,01-01-1987,/xS1cSUUUDwrE6NB1OlQxAJvdquJ.jpg
306415,Iniya Uravu Poothathu,01-01-1987,/fhGpO6diCjxUCJeBRkKXdXYtk7C.jpg
461209,Poovizhi Vasalile,14-01-1987,/7dIjinOMusFEnscxWVrKsqh1Yhj.jpg
66370,Kaadhal Parisu,14-01-1987,/rBBU3Mhzf8fTuKXR5soch5r5dpg.jpg
304619,Thirumathi Oru Vegumathi,15-01-1987,/mes7vecuxOm8oWwQ6zJ8ya3GTEF.jpg
326419,Shankar Guru,20-02-1987,/6gpT0rWIbCLdxt7l9VUfUcJzibR.jpg
361056,Chinna Thambi Periya Thambi,27-02-1987,/88tZ0lrbPnbCnI74SOgpX1wZHz.jpg
277854,Rettai Vaal Kuruvi,27-02-1987,/zrSTFCPsFQlWSC14blP6ALYghS1.jpg
66265,Velaikkaran,07-03-1987,/2M7A9tVLcC19OQKlNCdSVV3mQns.jpg
78870,Velundu Vinaiyillai,13-03-1987,/owAnfefs6gwZzuOpgQNKxFTJxOZ.jpg
894003,Ananda Aradhanai,19-03-1987,/9m8IpLj6z6QjFMKItEqqCGTpSy5.jpg
848219,Idhu Oru Thodarkathai,11-04-1987,/6gYwcSq2MMD2Pi3AhO3FUyShbMr.jpg
281367,Enga Ooru Pattukaran,14-04-1987,/e9wHOPYirOpNPWK4e1gXn4Wewrz.jpg
78874,Veerapandiyan,14-04-1987,/9PjL7pk8m4lpHhHuF4pesyFQxMF.jpg
66263,Manithan,01-05-1987,/kZWorIfxb63hvpx53sFaC8QgMDP.jpg
261835,Anbulla Appa,13-05-1987,/g572oSvzNV2NRfKhZJPlNWr3Wuu.jpg
906283,Paadu Nilave,15-05-1987,/gerUBF6mK0ZfDbP4WR6PXuV11hw.jpg
846524,Kavalan Avan Kovalan,29-05-1987,/eGpq4Rgbh3sujNc0z5iv81a9sgF.jpg
78869,Coolikkaran,05-06-1987,/6YE2I4dMXMvEgP69Mhqb4h9HzPl.jpg
66371,Kadamai Kanniyam Kattupaadu,12-06-1987,/lsYEeJUfe6mHWa2kWuaQLVjzF5k.jpg
66372,Per Sollum Pillai,16-07-1987,/yFYZclkECGlCk4waBpYcXAyYWC9.jpg
906308,Ninaikka Therintha Maname,11-08-1987,/6QVJqMoX432r3EzmKbcQgTd5Ge9.jpg
261840,Krishnan Vandhaan,28-08-1987,/xZB6ooYD080fAvyQoayYViFWBbL.jpg
244997,Jallikkattu,28-08-1987,/9Lctuh6uX1Go6k17iK0OwjFd956.jpg
277855,Theertha Karayinile,05-09-1987,/s056un0ac1k8GsYTYgRPfzu2tRS.jpg
78913,Sattam Oru Vilaiyaattu,21-10-1987,/8ZmUlJXkTrEpHFuVUkLF74NgBtt.jpg
29971,Nayakan,21-10-1987,/hnCKKPG5VkUiGQV0DTniyMTEZsT.jpg
534401,Arul tharum Ayyappan,27-11-1987,/bwoAXHyObbGkwN7CBYFIw1nZzIM.jpg
758951,Ore Oru Gramathiley,14-12-1987,/dLSTDkPt7ZAen92tJmwM1ZwoSZO.jpg
281375,Gramatthu Minnal,18-12-1987,/f0H9DYDSdzKdrPy05wn8sQ1HYj7.jpg
106844,Vedham Pudhithu,27-12-1987,/ewNo8yPqaiKZxI4ZyEd3t33GNca.jpg
335934,Anna Nagar Mudhal Theru,14-01-1988,/exkN7vxbTebnNr4UsPzXQiuKkE1.jpg
304689,Irandil Ondru,14-01-1988,/kVb5fDR1r6ld6R2JlAIeWgmbIOE.jpg
860674,Veedu Manaivi Makkal,15-01-1988,/l8hntZ50romawi3TYbfTbYM27fy.jpg
66369,Sathya,28-01-1988,/cDwU6KmVzX9HYcjHT7tSZWW72KA.jpg
504050,Ithu Engal Neethi,12-02-1988,/6SHzbbwALxnXkkekwSZv7ucbs4.jpg
906314,Kunguma Kodu,19-02-1988,/p0nU7hGg5kOmGraWhmUfozZ7hcW.jpg
508640,Penmani Aval Kanmani,11-03-1988,/wXcDUCRLor2GpVOka1zhiC7Xc2r.jpg
304610,Thaimel Aanai,13-04-1988,/f2mm4Yk0hxSW4AADserAJxEOMtO.jpg
258278,Kan Simittum Neram,13-04-1988,/hsbXSvKOv2fBFTQ29U25Q1sUxLj.jpg
66260,Guru Sishyan,13-04-1988,/fM3htrPTUNsGZExLi2KNRG1SLuW.jpg
505081,Pen Puthi Mun Puthi,14-04-1988,/xphe54zpSOOFwdezYXpRX5JBRI7.jpg
694848,Oorai Therunjukitten,15-04-1988,/6boKGrAd2BUmO85TcAJveuXkVbV.jpg
306403,En Bommukutty Ammavukku,15-04-1988,/rcEOJvUGELT3PwsuEDO3lU3eXsJ.jpg
78748,Agni Natchathiram,15-04-1988,/rnm8qlFvQnU9Acj0o1tvJsKlzmk.jpg
758903,Paasa Paravaigal,29-04-1988,/8v3mh9VZTjGSKmvkxVhJXc2emrM.jpg
88322,Kathanayagan,20-05-1988,/ps9JM5xGWz4jlg4UV0T9gsF58xh.jpg
78867,Poonthotta Kaavalkaaran,10-06-1988,/2q6RA5cRA1RSPsbJ9PzkE28n0gJ.jpg
199860,Patti Sollai Thattathe,22-07-1988,/3uYjZ9wGqLWXCGJ9SbRZfArzymL.jpg
66368,Soora Samhaaram,30-07-1988,/z3VQspNEOnwXjEyZ6WwuhdEh18F.jpg
339671,Idhu Namma Aalu,05-08-1988,/9f7HoyV0We8I1ork0BFZhP7DrwU.jpg
879166,Mappillai Sir,12-08-1988,/wmHN6WFnDxEvkOYrDV4yYKaKUHa.jpg
66367,Unnal Mudiyum Thambi,12-08-1988,/fnOZVSiCFICKOyPvFuUOxI36o9s.jpg
957395,Enga Ooru Kaavakkaaran,27-08-1988,/xmGwGZ3V3xFXOCZhNJSPE6Jhhzc.jpg
78863,Senthoora Poove,23-09-1988,/wYq5hdKjK6tzVxsWQAVk1tPkz54.jpg
66262,Dharmathin Thalaivan,24-09-1988,/7OncugHQl4RNj89dqKHMrvnX0uv.jpg
758892,Poo Pootha Nandhavanam,01-10-1988,/suW4L3kuzaISOUCeVASfpYaErPd.jpg
78861,Thenpandi Seemaiyile,01-11-1988,/6X2TVVc3NMolwW5uIMy5yAFnKgY.jpg
512272,Namma Ooru Nayagan,08-11-1988,/z2SY4CZ2lfH7kJM9HkqQLTz9Uw3.jpg
78944,Poovizhi Raja,11-11-1988,/lmweiMvAP9hmrzAKqz87bNuHygl.jpg
331589,Veedu,25-11-1988,/rWwVqlSfNJePZ2QmmFyredCMIJw.jpg
277853,Sahadevan Mahadevan,30-11-1988,/3I2XaT0ulSYHgshqNI0vrUWtKop.jpg
906332,Vasanthi,02-12-1988,/iDLcRCTeh8GBf8lhTvDkt7ldMHI.jpg
1322306,Amavasai Iravil,01-01-1989,/ly1nu1o83R9Zv0WaiRJvElWofAg.jpg
957580,Kaaval Poonaigal,01-01-1989,/7TdMVmVYftUES3IFxygN8A9Mmne.jpg
906356,Oru Ponnu Nenacha,01-01-1989,/nPVgqNcYxeydRJYgsSY5h0DpYDJ.jpg
906351,Shondham 16,01-01-1989,/d1GbmQlGmrbHCAChJjIFoAz1adz.jpg
481193,Chinna Chinna Aasaigal,01-01-1989,/xUVvdkszTQb65X3dO8fQRJgomQa.jpg
304334,Paasa Mazhai,01-01-1989,/rqlvqjSVubArJybVOrbQWqXj8Vt.jpg
338357,Sandhya Raagam,11-01-1989,/8WjZVIiYwaZaLfZoXGhTWpKwfTg.jpg
508628,Oru Thottil Sabadham,13-01-1989,/gmY2e6vTeY5XCiVSfv6nGZDNDjx.jpg
560182,Naalai Manithan,14-01-1989,/fzAaBdr3iLXmcY4a9u6OD4Yuf9b.jpg
322072,Andru Peytha Mazhaiyil,29-01-1989,/6aFoLpLqEyBXXGUoe9xNj4uSB5I.jpg
78910,En Purushanthaan Enakku Mattumthaan,03-02-1989,/vORrsh8JG6ivY1mAhbWtGmKxZor.jpg
281385,Thaai Naadu,16-02-1989,/s2IDZxOV5R7vOaAQoEmE5IohMP7.jpg
481083,Vaai Kozhuppu,17-02-1989,/shAMh5vVKWlrDPXyvTXVRPq2rpp.jpg
78745,Varusham Padhinaaru,17-02-1989,/zSjYKBZOvvCZHCnXBKeHzhM393t.jpg
508307,Ellame En Thangachi,03-03-1989,/aEwKRfJNTWmrIkaFm1rOq1TOyyL.jpg
296640,Rajathi Raja,04-03-1989,/yKMghnJJ04siCTi4Rm6XAteYCVi.jpg
78858,Paattukku Oru Thalaivan,17-03-1989,/j7dnlI8EFqL9H49lCUlHkGk8dQX.jpg
306404,Enga Ooru Maappilai,14-04-1989,/4Q1ZFfticq1hgVstEdBWLUamhv8.jpg
66365,Apoorva Sagodharargal,14-04-1989,/jqhffaAgfjNf5TlHUwqdTHVx3Cz.jpg
66259,Siva,05-05-1989,/ixroHEUCIBxvThwe9DKlWGipF4t.jpg
339835,Nethiyadi,11-05-1989,/gJjBSyqJxRiSoq5ceZUsyNdxoS0.jpg
266976,Karagattakaran,16-06-1989,/cn3aJBTaYBkGcPsDFcWkoGjBIH9.jpg
695186,Sakalakala Sammandi,07-07-1989,/ndtNyHzuyOz0zKYmEdbz1ETRVqG.jpg
281807,Pudhea Paadhai,14-07-1989,/bIz3sAoCV3yuyPfpRB5fyi6joQW.jpg
66258,Raja Chinna Roja,20-07-1989,/aqldDxluanw1JhC0qPesAdWUCCe.jpg
935548,Chinnappadass,28-07-1989,/18UxwfWqkjX3pT0NybHZI9bNrzy.jpg
511056,Nyaya Tharasu,11-08-1989,/6uu9kK1742FQp0ELFJhO2DwUDtD.jpg
510382,Manidhan Marivittan,11-08-1989,/ztSS83oGSb6KYKG4mOSsSf5IJa3.jpg
508358,Yogam Rajayogam,11-08-1989,/dKDobHJ7GMNIc5vBwAu6oNXBc69.jpg
78909,Ponmana Selvan,15-08-1989,/gm5IGUW5tYDkfQXtHiGD6hOO72k.jpg
331568,Mappillai,28-10-1989,/1lSLaVxmiptlPc454x6yijZapXN.jpg
282004,Pudhu Pudhu Arthangal,28-10-1989,/jsU8ZafahxttUTn4EF04HwUlqjG.jpg
281372,Anbu Kattalai,28-10-1989,/fJN79pzdFsKe7sr3RfBoAsMMFFL.jpg
78859,Rajanadai,28-10-1989,/jWSOBATvpgHGDb2SvGo63jZNLIp.jpg
78857,Dharmam Vellum,28-10-1989,/yngR0FPaWCvEVMIW7yMlF4QbQFX.jpg
66366,Vetri Vizha,28-10-1989,/hkCfRKtOqIpI2mRS6dhUmIH44nH.jpg
